令和7年1月1日住民基本台帳人口・世帯数、令和6年（1月1日から同年12月31日まで）人口動態（市区町村別）（総計）,,,,,,,,,,,,,,,,,,,,,,,,
,,,令和7年,令和7年,令和7年,令和7年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年
,,,2025年,2025年,2025年,2025年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年
,,,人口,人口,人口,世帯数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
,,,男,女,計,世帯数,転入者数（国内）,転入者数（国外）,転入者数（計）,出生者数,その他（計）,計（Ａ）,転出者数（国内）,転出者数（国外）,転出者数（計）,死亡者数,その他（計）,計（Ｂ）,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
団体コード,都道府県名,市区町村名,人,人,人,世帯,人,人,人,人,人,人,人,人,人,人,人,人,人,％,人,％,人,％
013943,北海道,磯谷郡蘭越町,2178,2323,4501,2460,264,82,346,15,3,364,235,23,258,84,17,359,5,0.1112099644128114,-69,-1.5346975088967971,74,1.6459074733096084
013951,北海道,虻田郡ニセコ町,2830,2721,5551,3260,370,714,1084,22,19,1125,472,361,833,54,168,1055,70,1.277139208173691,-32,-0.5838350665936872,102,1.8609742747673783
013960,北海道,虻田郡真狩村,996,942,1938,1002,112,73,185,8,1,194,141,34,175,32,1,208,-14,-0.7172131147540983,-24,-1.2295081967213115,10,0.5122950819672131
013978,北海道,虻田郡留寿都村,1046,972,2018,1197,149,212,361,6,0,367,216,80,296,24,65,385,-18,-0.8840864440078585,-18,-0.8840864440078585,0,0
013986,北海道,虻田郡喜茂別町,958,970,1928,1161,116,39,155,7,1,163,138,8,146,36,10,192,-29,-1.481859989780276,-29,-1.481859989780276,0,0
013994,北海道,虻田郡京極町,1358,1418,2776,1459,158,48,206,11,7,224,178,16,194,48,6,248,-24,-0.8571428571428572,-37,-1.3214285714285714,13,0.4642857142857143
014001,北海道,虻田郡倶知安町,8967,8153,17120,10777,1365,2861,4226,88,42,4356,1579,1521,3100,134,507,3741,615,3.726143592850651,-46,-0.27870342320508934,661,4.004847016055741
014010,北海道,岩内郡共和町,2741,2623,5364,2761,293,30,323,43,1,367,351,16,367,64,2,433,-66,-1.2154696132596685,-21,-0.3867403314917127,-45,-0.8287292817679558
014028,北海道,岩内郡岩内町,5177,5736,10913,6382,456,46,502,34,5,541,468,20,488,229,5,722,-181,-1.6315125292951145,-195,-1.7577068685776096,14,0.12619433928249504
014036,北海道,古宇郡泊村,698,722,1420,842,70,3,73,6,0,79,81,1,82,41,0,123,-44,-3.0054644808743167,-35,-2.390710382513661,-9,-0.6147540983606558
014044,北海道,古宇郡神恵内村,358,382,740,447,19,1,20,0,0,20,21,0,21,16,0,37,-17,-2.2457067371202113,-16,-2.1136063408190227,-1,-0.13210039630118892
014052,北海道,積丹郡積丹町,795,907,1702,983,53,1,54,9,0,63,81,0,81,50,0,131,-68,-3.84180790960452,-41,-2.3163841807909606,-27,-1.5254237288135595
014061,北海道,古平郡古平町,1218,1371,2589,1623,55,14,69,8,0,77,67,7,74,69,1,144,-67,-2.522590361445783,-61,-2.2966867469879517,-6,-0.2259036144578313
014079,北海道,余市郡仁木町,1489,1562,3051,1679,228,109,337,19,8,364,186,107,293,55,5,353,11,0.3618421052631579,-36,-1.1842105263157896,47,1.5460526315789473
014087,北海道,余市郡余市町,7875,9079,16954,9475,662,94,756,70,6,832,687,41,728,366,6,1100,-268,-1.5561491116014399,-296,-1.7187318546045753,28,0.16258274300313552
014095,北海道,余市郡赤井川村,804,688,1492,1039,152,474,626,4,1,631,164,220,384,12,96,492,139,10.273466371027347,-8,-0.5912786400591279,147,10.864745011086473
014231,北海道,空知郡南幌町,3826,4107,7933,3758,429,52,481,57,4,542,247,29,276,114,4,394,148,1.9010918432883752,-57,-0.7321772639691715,205,2.6332691072575463
014249,北海道,空知郡奈井江町,2242,2462,4704,2583,149,8,157,15,1,173,179,6,185,101,2,288,-115,-2.3863872172649927,-86,-1.7846026146503424,-29,-0.6017846026146504
